no,상품번호,브랜드,상품명,순위,카테고리,file,person,period,gift,claim
35,A000000164840,필리밀리,[2025 어워즈 수상] 필리밀리 아이브러시 프로컬렉션(5종) 단품/기획,27,뷰티소품,29375e27ecc8d100.jpg,0,0,0,1
36,B000000217148,고블린웨어,고블린웨어 스쿱 넥 브라렛 (4colors) (S~L),35,패션,0a0f47cb2103a169.jpg,0,0,0,0
37,A000000161129,딜라이트 프로젝트,딜라이트 프로젝트 명인 부각 단품/세트 9종 택1,28,푸드,0679b6e1dc57501d.jpg,0,1,0,0
38,A000000207111,토리든,토리든 다이브인 포맨 저분자 히알루론산 올인원 200g 단품/기획 (+올인원 20g),40,맨즈에딧,87a29cd44ebb909d.jpeg,0,0,1,1
39,A000000260523,리쥬덱스,[전문 드레싱 관리_거즈 마스크]리쥬덱스 더마 리페어링 드레싱 마스크(단품/기획),28,마스크팩,a106436914b19823.jpg,0,0,1,1
40,A000000224982,지노마스터,지노마스터 이노시톨 30포 (1개월분),36,건강식품,bb4e19f6dd1055b5.jpg,1,0,0,0
41,B000000264012,ENHYPEN,ENHYPEN (엔하이픈) - THE SIN : BLISS (4종 중 랜덤 1종),24,취미/팬시,a87c06b772d31e7a.jpg,0,0,0,0
42,A000000179818,위드샨,[베스트] 위드샨 펌프형리무버 200ml 5종,25,네일,5659ecc20a25e54e.jpg,0,0,0,0
43,A000000206178,나른,나른 브레즘 숏트렁크 네이처컬러 시리즈 (2colors),34,패션,d5147dfb9408e071.jpg,1,0,0,0
44,A000000230640,발란스핏,[의료기기]발란스핏 압박스타킹 기본형 4color (S/M) 8종 택1,27,헬스/건강용품,6c9aa79f716dda2b.jpg,1,0,0,0
45,A000000006565,우르오스,우르오스 올인원 스킨밀크 200ml,24,스킨케어,ac130eb97abe08cd.jpg,1,0,0,0
46,A000000121286,박준뷰티랩,"[손상모케어]박준뷰티랩 LPP 단백질 트리트먼트 플러스 1,000ml (기획/단품)",25,헤어케어,4f3d3ae75ad6069b.jpg,0,0,1,0
47,A000000151292,웨이크메이크,[NEW/핑크 펄 하드너] 웨이크메이크 네일케어 핑크영양제/핑크강화제/핑크펄하드너 3종,23,네일,5c3204c22be70436.jpg,0,0,0,0
48,A000000225217,더마팩토리,더마팩토리 나이아신아마이드 20% 세럼 30ml,25,스킨케어,9367f2b8edfac2f3.jpg,0,0,0,0
49,A000000218630,그라펜,[1+1/자연스러운세팅] 그라펜 볼륨업 컬크림 150ml,31,맨즈에딧,f835d6069b15286d.png,0,1,1,1
50,A000000176552,필리밀리,[용도별 브러시PICK] 필리밀리 메이크업 브러시 골라담기 9종 택1,22,뷰티소품,990dcaaa870b6180.jpg,0,0,0,0
51,A000000120264,포엘리에,[쿨링출시/Y존케어] 포엘리에 페미닌 이너퍼퓸 데일리 멀티 향수,34,위생용품,cf0447986eb68d86.jpg,0,0,1,1
52,A000000189064,팁토우,[NEW] 팁토우 네일 폴리쉬 41 Colors,33,네일,357a32f6854918c9.png,1,0,0,1
53,A000000192748,이너시아,[카이스트박사 PICK] 이너시아 더프리즘 유기농 팬티라이너 2종 택 1 (18P/54P),26,위생용품,194b8191263ef1a4.jpg,0,0,0,0
54,A000000218862,달바,[붉은기커버] 달바 그린 톤업 선크림 듀오 기획 (50ml+50ml),38,선케어,bfb098c2bb37ae49.png,0,0,1,0
55,A000000223207,AHC,[이사배PICK]AHC 마스터즈 아쿠아리치 선크림 50ml 1+1 기획,27,선케어,550d90b8741a80ec.jpg,1,0,1,1
56,A000000218424,포맨트,[박지훈PICK/헤어퍼퓸 증정] 포맨트 시그니처 퍼퓸 50ml 단품/기획 3종 택 1 (포켓몬 에디션),28,향수/디퓨저,4774b17ea88ab913.png,1,0,1,1
57,A000000207056,3CE,[8월올영픽/물놀이틴트] 3CE 레이지 팝 립 스테인 4.5g 11종,29,메이크업,76158b06561e1187.jpg,1,0,0,1
58,A000000189827,라네이처,좋은느낌 라네이처 생리대 8종 택 1 (중형 / 대형 / 수퍼롱 / 라이너 / 기획),39,위생용품,50cd2e7567991179.png,0,0,0,0
59,A000000189088,몽블랑,몽블랑 익스플로러 EDP (30ml/60ml/100ml),32,맨즈에딧,4e4895839b2cc4ae.jpg,0,0,0,0
60,A000000128148,캘빈클라인,캘빈클라인 CK One EDT 단품/기획,23,맨즈에딧,c8c6c3a7efada37b.jpg,0,0,0,1
61,A000000006570,우르오스,우르오스 지복합성 2종 기획,37,스킨케어,bf2c090865f5c0e2.jpg,0,0,1,0
62,A000000186434,티트리트,[리뷰 이벤트] 티트리트 푸룬 딥스트롱 180ml,36,푸드,e20e2b3324a2e61a.jpg,0,0,1,1
63,A000000251417,46cm,[OY단독 대용량] 46cm 체취 솔루션 데오드란트 바디워시 720ml 2종(클린솝/시트러스) 택1,26,바디케어,1ab89db6ff8fb610.jpg,0,0,1,1
64,A000000179295,톤핏선,톤핏선 파데프리 비건 얇착밀착 선쿠션 2종 택1(톤업쿠션/커버쿠션) SPF50+ PA++++,26,선케어,9d91a1b29acf7680.jpg,1,0,0,0
65,A000000237409,바이오던스,[원이PICK/1+1] 바이오던스 포어 퍼펙팅 콜라겐 펩타이드 세럼 30ml 더블 기획,53,스킨케어,e1dbffcbf9cc888a.jpg,1,0,1,1
66,A000000189360,덴프스,[덴마크 직수입]덴프스 덴마크 유산균이야기 30캡슐(1개월분),54,건강식품,7ecdf5a687618e55.jpg,1,0,0,0
67,A000000255700,아크네스,[포켓몬 에디션] 아크네스 3초 진정 스팟 패치 90매 3종 택 1 (피카츄/치코리타/이브이),58,헬스/건강용품,99186f3ff69a57f2.png,0,0,1,1
68,A000000245031,올더베러,[8월올영픽]올더베러 엑스트라 버진 올리브오일 캡슐 30일분(90캡슐),45,푸드,65ac4c5ff1e3e9fb.jpg,0,1,0,0
69,A000000169835,스튜디오17,[기본필수템] 스튜디오17 아이메이크업 브러쉬 세트,50,뷰티소품,5c6c4e127f14413e.jpg,1,0,0,0
70,A000000254186,미쟝센,[한정기획]미쟝센 살롱10 펩타이드리페어 헤어마스크(트리트먼트) 300ML*2+30ML*2 증정기획,53,헤어케어,586295fe92803d05.jpg,0,0,1,0
71,A000000259786,디어소녀,[100만장완판/5분겔팩] 디어소녀 수분폭발 젤리찰떡팩 10매,52,마스크팩,52db1aa1aa3e4057.jpg,1,0,0,0
72,A000000262927,딜라이트 프로젝트,[8월올영픽]딜라이트 프로젝트 크루아상칩 택1(캐러멜/마늘빵),60,푸드,5d8c0d93ddccc4b1.jpg,0,1,0,0
73,A000000145609,디어스킨,디어스킨 에어엠보 생리대 8종 택 1(패드 / 라이너 / 슈퍼롱 / 입는오버),45,위생용품,4f255ad3e10fe0df.jpg,0,0,0,0
74,A000000201162,디어러스,디어러스 젤 리무버 100ml,55,네일,c0ed5a5dfb733cbc.jpg,0,0,0,0
75,A000000219928,식물나라,[착붙톤업] 식물나라 뽀얀쌀 생기 톤업 선 쿠션 4종 (단품/리필기획/리필2개입),49,선케어,f736a54eeee9b4e2.jpg,0,1,1,0
76,A000000135363,닥터지,"[피지조절/저자극] 닥터지 레드 블레미쉬 오일 컨트롤 페이퍼 70매 2종 (단품,더블 기획)",45,뷰티소품,97ba6adb5ae5dc6a.jpg,0,0,0,0
77,A000000128051,보다나,보다나 소프트바 판고데기 6종 택 1,48,헤어케어,f56e1061258e62a5.jpg,1,0,0,1
78,A000000248024,체이싱래빗,[리뷰이벤트/파데프리/톤업선크림] NEW 체이싱래빗 블러 퍼플 커버선크림 기획 35g(+ 팡팡퍼프 증정),59,선케어,bf219515be181b90.jpg,0,0,1,1
79,A000000257157,터키힐,터키힐 메이플 크림 쿠키 200g,57,푸드,f7b066beeea55101.png,0,0,0,0
80,B000000246652,BTS,방탄소년단 (BTS) ARIRANG (Standard Vinyl),45,취미/팬시,3730e0c3b88d1739.jpg,1,0,0,0
81,A000000211965,초감각,[의료기기] 초감각 001 콘돔 2종 택 1 (10P/30P),54,위생용품,1db52668edce83b6.jpg,0,0,0,0
82,A000000226201,아누아,[단독기획] 아누아 TXA 나이아신 흔적 세럼 30ml 2입,48,스킨케어,31fb0b2efc265fb6.png,0,0,1,1
83,B000000265395,SF9,SF9 2nd Album [TENACITY] (TENACITY / LIGHTEN / INTEND Ver.) (랜덤),55,취미/팬시,5d0bd3fff2c36433.jpg,0,0,0,0
84,A000000201277,바이오가,[대용량] 바이오가 바이오틴 손상모발개선 탈모완화 샴푸 돌콩배아 1000ml,47,헤어케어,38aabfb6b7b58b8c.png,0,0,1,1
85,B000000259503,얼모스트블루,얼모스트블루 큐피드 우양산 26종 택1,47,패션,3f5885fcb56c8d14.jpg,1,0,0,0
86,A000000251088,유시몰,유시몰 화이트닝 칫솔 3입 기획 (+핑크 리유저블 컵) (바비 콜라보),44,구강용품,606c7a2e5ab92e88.jpg,0,0,1,0
87,A000000211480,토르홉,[단독기획/피지/요철] 토르홉 카모스 블랙 소금거품 클렌저 130g(+5g 미니 증정),60,클렌징,7c685720ceb5cede.jpg,0,0,1,0
88,A000000218546,멜라메이트,[골라담기/신제품] 멜라메이트 구미 타트체리맛/리치백도맛/애플민트맛/2mg 구미,51,건강식품,187acc1a2e874b43.jpg,0,0,0,1
89,A000000251851,네이밍,[1만원상품권 증정][8월올영픽/사우나쿠션] 네이밍 올데이 마스터 쿠션 리필 기획 (+퍼프5개),59,메이크업,fcd0f2c43fde0a2b.jpg,1,1,1,1
90,A000000195421,이너시아,[카이스트박사 PICK]이너시아 더 프리즘 입는 오버나이트 3종 택1 (중/대형/특대형),60,위생용품,c4aa7484e3f8b2a4.jpg,0,0,0,1
91,A000000260580,제로이드,[8월 올영픽] 제로이드 핌프로브 레드 컨트롤 크림 pH4 80ml 기획 (+토너 25ml +크림 10ml),42,스킨케어,5de82be7a0bae1b2.jpg,0,1,1,1
92,A000000223256,라운드어라운드,[8월올영PICK] 라운드어라운드 센티드 디퓨저 100ml 5종,50,향수/디퓨저,bf3c452bfd9a651f.jpg,0,0,1,1
93,A000000198320,에스트라,[올영 어워즈 1등 크림] 에스트라 아토베리어365 크림 80ml,46,스킨케어,f8e7ec30c7307425.jpg,0,0,0,1
94,A000000190121,테일러센츠,[올리브영 단독 패키지] 테일러센츠 x 광주요 매병 디퓨저 200ml 4종 택1,45,향수/디퓨저,f0b0f51cf7d3e5e7.jpeg,0,0,0,0
95,A000000232269,세노비스,[올영단독] 세노비스 트리플러스 오메가3 이뮨 우먼/맨 80+10캡슐 기획(45일분),43,건강식품,d4a9e2d4aac7c120.jpg,0,0,1,0
96,A000000202197,라운드랩,[8월 올영픽/더블] 라운드랩 자작나무 수분 선스틱 19g+19g,54,선케어,9db17f911df89414.png,0,1,1,1
97,A000000160902,메이크프렘,[대용량] 메이크프렘 세이프 미 릴리프 모이스처 클렌징 밀크 500ml,70,클렌징,d3415a80da9a30a0.jpg,0,0,0,0
98,A000000146052,생활약속,[곽민경 PICK]생활약속 기분전환 (본품10포+1포 추가 증정),62,건강식품,53b2f03d7ecb963a.jpg,1,0,1,1
99,A000000230160,오센트,오센트 행잉/패브릭 퍼퓸/샤쉐  6종 택 1,66,향수/디퓨저,4294f017c8d7ab4f.png,0,0,0,0
100,A000000232723,달바,[화잘먹 선케어] 달바 에센스 선크림 듀오 기획 (50ml+50ml),79,선케어,f6e380747688ef24.png,0,0,1,0
101,A000000159062,컬러그램,[NEW/리뉴얼][5초눈확장/중안부축소]컬러그램 올인원 애교살 메이커 8COLOR,75,메이크업,b1425658d6216d1e.jpg,1,0,0,1
102,A000000232031,나른,[단독기획] 나른 슬림 서포트 삭스 Short/Long (7colors),80,패션,a9fa6f26daedc205.jpg,1,0,0,0
103,B000000256880,모던하우스,[모던하우스] L 푸른바람뱁새 요거트볼 D11,66,홈리빙/가전,2e2a44d93ac8d813.jpg,0,0,0,0
104,A000000254747,에스트라,에스트라 아토베리어365 하이드로 수딩크림 80ml 기획(토너25ml+클렌징폼30g),61,더모 코스메틱,3374a0c0301ff5f2.jpg,0,0,1,0
105,A000000256022,쏘피,[8월올영픽]쏘피 쿨링프레쉬 여성청결제 150ML,74,위생용품,7a6762f1f108ae65.jpg,0,0,1,1
106,A000000168440,폴프랜즈,[폴프랜즈] 페이크삭스 베이지 (FSB) F-SOCKS 220~300mm(초등-성인),76,패션,4ca9940c7135fb91.jpg,1,0,0,0
107,A000000006731,유기농본,유기농본 울트라슬림 팬티라이너 4종 택 1,61,위생용품,b2373c30e0486e56.jpg,0,0,0,1
108,A000000205830,에스네이처,[1등 쿨링진정패드] 에스네이처 아쿠아 오아시스 판테알란 카밍패드 60매,80,마스크팩,a5fafc7796fd9e2c.png,0,0,0,1
109,A000000262623,루치펠로,[최유정 PICK /고불소/NEW] 루치펠로 유칼립투스 앤 민트/라임 앤 씨솔트 치약 105g,63,구강용품,fdf51231c346cff1.jpg,1,0,0,1
110,A000000253313,알로,[쿨썸머] 알로 휴대용 미니 선풍기 F3A,78,취미/팬시,7ce6dfb0c0ba4140.jpg,0,0,0,0
111,A000000197280,정샘물,[1등쿠션퍼프/쫀쫀착붙] 정샘물 쿠션 퍼프 3종,62,뷰티소품,12af24eb3484f1fc.jpg,0,0,0,0
112,A000000174066,하트퍼센트,[태산 PICK / NEW 컬러] 하트퍼센트 도트 온 무드 립펜슬 0.8g 25종,76,메이크업,f610fc38a627e751.jpg,1,0,0,1
113,A000000203369,마른파이브,마른파이브 두프리 에어 심리스 누드브라 하프컵,68,패션,8397bb37cbe557ff.jpg,0,0,0,0
114,A000000226595,마른파이브,"마른파이브 넉넉 UV차단 올풀림방지 니삭스 골프 스타킹 2 colors (숏, 롱)",72,패션,137252286815029a.jpg,1,0,0,0
115,A000000251914,르멘트,[2종 세트] 르멘트 큐티클 클리닉 듀오 (세럼 & 이지오프 펜),71,네일,bf8a24b2b9395742.jpg,0,0,1,0
116,A000000229645,필리밀리,필리밀리 포인트 블러셔브러시 885,79,뷰티소품,fbbb39782628f7e5.jpg,0,0,0,0
117,A000000243330,리쥬란,[9중 모공지표 개선] 리쥬란 더마 힐러 포어 타이트닝 겔 마스크 5매,75,마스크팩,72d7c9dba80d8721.jpg,1,0,0,0
118,A000000193114,클린,[단독기획] 클린 웜코튼 EDP 30ml (+10ml 롤러볼),75,향수/디퓨저,24d76248a4710ccd.jpg,0,0,0,0
119,A000000154188,어노브,어노브 실크 헤어 오일 에센스 70ml (텐더블룸/웜페탈),72,헤어케어,1bf887b256ae3ddb.png,1,0,0,0
120,A000000184657,반디,[NEW/페디케어] 반디 더마페디 3종,75,네일,4d8ba8d0c69451c8.jpg,0,0,0,0
121,B000000236581,담백하루,담백하루 초임계 알티지 오메가 에센스 1000 30정 (1개월분),65,건강식품,5150d4685295ee7e.jpg,0,0,0,0
122,A000000251585,스크럽대디,"스크럽대디 스크럽마미 곰돌이 푸 콜라보 1P 3종 택 1(푸, 피클렛, 티거)",67,홈리빙/가전,c15fb41bb209d64c.jpg,0,0,0,0
123,A000000244392,러븀,[단독기획] 러븀 겔 마스크 4매 (어린시카/유자/PDRN/그린시트러스),69,마스크팩,3f2b2ca794cd2640.png,0,0,0,0
124,A000000205355,에르보리앙,[8월올영픽/단독기획] 에르보리앙 CC 레드 코렉트 15ml/45ml,64,메이크업,d0ce73c94b539f82.png,1,1,1,1
125,A000000183800,랑방,랑방 레 플레르 드 랑방 워터 릴리 EDT 50ml,64,향수/디퓨저,947a860d560d1df6.jpg,0,1,1,0
126,A000000217419,주미소,[여드름기능성/대용량]주미소 포어 퓨리파잉 살리실산 포밍 클렌저 150g 더블기획,67,클렌징,c2263a1a15e35a97.jpg,0,0,1,0
127,A000000207974,오쏘몰,오쏘몰 이뮨 멀티비타민&미네랄 30입 (1개월분),61,건강식품,94de855aa6cb52cd.jpg,0,0,0,1
128,A000000255774,로레알,[열보호 헤어밀크/산뜻한케어] 로레알파리 오일 헤어 밀크에센스 90ml,71,헤어케어,fadd6a267564c9dc.jpg,0,0,0,0
129,A000000229159,니아르,[포켓몬 에디션] 니아르 가르시니아 14+6정 기획 (+미니하트괄사 랜덤 증정),95,푸드,f62b45e7e1e97213.jpg,1,0,0,0
130,A000000236897,질레트,질레트 랩스 딥클렌징바 면도기 네온 나이트/화이트 에디션 (핸들+1입날+거치대),97,맨즈에딧,8b732f95b8ba95d9.jpg,1,0,1,1
131,A000000239236,피지,"피지 모락셀라 액체세제 2.1L,1.5L 용기 3종 / 2.3L 리필 2종(허브향/코튼향)",81,홈리빙/가전,70a812355a5ffb16.jpg,1,0,0,0
132,A000000238492,헤트라스,[여름향수/올영1위] 헤트라스 핸드메이드 퍼퓸 50ml 5종 택 1,98,향수/디퓨저,a2d7e1c4ee909b0c.png,0,0,0,0
133,A000000221957,네이처메이드,네이처메이드 슈퍼 RTG 오메가-3 900mg 40캡슐 (20일분),96,건강식품,697cc9be0bb5ca43.jpg,0,0,0,0
134,A000000235908,어노브,[한정기획/퍼퓸] 어노브 글로우 바디로션 누바닐라/로지아우라 (기획/단품),90,바디케어,64387f5b3a7f469a.png,0,0,0,0
135,A000000230035,아디다스(뷰티),[김재원PICK] 아디다스 풀 리차지 EDP (30ml기획/30ml/50ml/100ml),100,향수/디퓨저,5c7e88b3cd3a0792.jpg,1,0,1,1
136,A000000254152,닥터포헤어,[8월올영픽] 닥터포헤어 에어로 쿨링 스프레이 100ml 더블 기획,81,헤어케어,38cdf0a348085d31.png,0,0,1,1
137,A000000260349,리쥬덱스,[붉은기 2배 방어_수분 레이어링]리쥬덱스 더마 리페어링 크림 미스트 100ml,86,더모 코스메틱,a6fa476d5cb2e225.jpg,0,0,0,1
138,A000000263071,바이오더마,바이오더마 시카비오 포마드 100ml 기획 (+포마드 5ml+크림 5ml+크림 SPF50 5ml) (2609),84,더모 코스메틱,3e2f57380b391526.jpg,0,0,1,1
139,A000000141612,클로란,[8월 올영픽/지성두피&쿨링] 클로란 드라이샴푸 150ml 2종 (쿨세범/노세범),100,헤어케어,ffb33a26799cd393.jpg,0,0,0,1
140,A000000232462,포뷰트,포뷰트 텍스처 쉐이크 스프레이 100ml (단품/기획),85,맨즈에딧,87c3ca53a33e82bf.jpg,1,0,0,1
141,A000000235068,리쥬란,[c-PDRN  물광+윤광 케어] 리쥬란 힐러 턴오버 액티브 크림 50ml (+앰플 5ml 증정),96,스킨케어,2af950d77b3ff90d.jpg,0,0,1,1
142,B000000228422,알로,[리뷰이벤트] 알로코리아 케이블일체형/맥세이프 보조배터리 모음 (6종 택1),94,취미/팬시,846ca49ebc23f7b9.jpg,0,0,0,0
143,A000000206445,미쟝센,[2년 연속 1위] 미쟝센 뉴 헬로크림 염색,83,헤어케어,9535eb591d34e663.png,1,0,0,0
144,A000000198321,에스트라,에스트라 아토베리어365 로션 150ml,81,스킨케어,cccb2a588781f0b5.jpg,0,0,0,0
145,A000000228263,비레디,[1+1/강력방수 선크림] 비레디 스웻프루프 선크림 듀오,100,맨즈에딧,ff6b2171f21bf472.jpg,0,0,1,0
146,A000000206378,파티온,[트러블진정] 파티온 노스카나인 트러블 세럼 마스크팩 기획(4+1),94,마스크팩,b86dd54eecb9282f.jpg,0,0,0,0
147,A000000236445,QCY,QCY)T29 APP 블루투스 이어폰 2종 택1,90,취미/팬시,8279a00617c41d21.jpg,0,0,0,0
148,A000000232890,스위스 유스트,스위스유스트 31 허브 오일 75ml,84,헬스/건강용품,dd487d33b9398dd4.png,0,0,0,0
149,A000000217678,탄탄,탄탄 슬리밍 2종 택1 (다이어트젤리/부스터샷),99,건강식품,1584bb4030f8f4d1.jpg,0,1,0,1
150,A000000166223,위드샨,[강력/젤네일제거] 위드샨 슈퍼 네일 리무버 200ml,89,네일,d30a9036c88d62eb.jpg,0,0,0,0
151,A000000203495,헤트라스,[12시간 지속] 헤트라스 텍스타일 퍼퓸 섬유향수 80ml 6종 1택,93,향수/디퓨저,20c9be8d8f156eda.jpg,0,0,0,0
152,A000000115097,테일러,테일러 푸룬 농축 딥워터 180ml,84,푸드,2118f27303ede4b1.jpg,0,0,0,1
153,A000000227936,셀리맥스,[각질제거/피부결/토너패드] 셀리맥스 어성초 바하 지우개 필링 패드 60매 기획(+10매),87,마스크팩,4ca288a0334b2d16.png,0,0,1,1
154,A000000259917,바디판타지,바디판타지 바디스프레이 94ml 2종 (피치애프리콧 / 러브스트럭),85,바디케어,dc89161a90534bd0.jpg,0,1,0,0
155,A000000213972,파파레서피,[온라인 단독] 파파레서피 블레미쉬 효소 파우더 클렌저 50g 더블기획 (+브러쉬+블레미쉬 크림 7ml),94,클렌징,85f00d07c24105f0.jpg,0,0,0,1
156,A000000217212,닥터아돌,닥터아돌 히알바이오틱스 질 유래 유산균 30개입 (30일분),88,건강식품,ade8f5112804963b.png,0,0,0,0
157,A000000241715,솔랩,[8월 올영픽/두피 스케일링]피지/각질/냄새 전문가케어 솔랩 아쿠아픽 두피스케일러 250ml + 브러쉬 기획,89,헤어케어,6301722580831f66.jpg,0,0,1,1
158,A000000208236,위드샨,[영양/보호] 위드샨 루트 케어라인 15ml 3종,81,네일,de09d68453a6db09.jpg,0,0,0,0
159,A000000188065,디오디너리,[단독/대용량] 디오디너리 나이아신아마이드 10% + 징크 1% 120ml,88,스킨케어,3ccc239bd1e5b376.jpg,0,0,0,0
160,A000000250995,프레민트,[NEW] 프레민트 화이트닝민트 레몬라벤더 미백 치약 80g,81,구강용품,655674b346d45da7.jpg,0,0,0,0
