stratum,상품번호,리뷰ID,label
B,A000000171371,63560415,0
B,A000000252276,62507211,0
B,A000000229326,56774952,0
B,A000000249896,62223168,0
B,A000000185974,63932526,0
B,A000000250693,63420077,0
B,A000000183558,61958034,0
B,A000000219310,62601166,0
B,A000000162114,61292962,0
B,A000000213179,19598080,1
B,A000000218845,64171009,0
B,A000000239103,61097628,0
B,A000000138671,63638674,0
B,A000000188988,61658605,0
B,A000000233030,61774176,0
B,A000000219094,61543597,0
B,A000000246297,62753956,0
B,A000000256049,62070840,0
B,A000000171423,62605198,0
B,A000000236454,62510334,1
B,A000000260943,63665818,0
B,A000000258291,61072660,0
B,A000000206827,62328314,0
B,A000000214790,62716836,0
B,A000000261834,62332000,0
B,A000000140618,63565060,0
B,A000000202658,63206970,0
B,A000000180506,63300425,0
B,A000000184431,63203730,0
B,A000000224958,62166244,0
B,A000000202893,63161053,0
B,A000000234394,62528352,0
B,A000000238763,63362447,0
B,A000000257283,62363798,0
B,A000000222776,62120693,0
B,A000000204544,63283873,0
B,A000000202777,62880093,0
B,A000000255752,62818839,0
B,A000000255752,62806642,0
B,A000000175634,62763032,0
B,A000000248396,63584412,1
B,A000000237417,62090823,0
B,A000000187479,18351245,0
B,A000000231293,60709782,0
B,A000000260188,62616344,0
B,A000000238833,60813919,0
B,B000000226441,60352271,0
B,A000000254400,61463572,0
B,A000000249190,63092496,0
B,A000000229694,60776294,0
B,A000000212048,38558765,0
B,A000000262621,63527881,0
B,A000000185235,21755870,0
B,A000000222020,62099699,0
B,A000000245884,62722798,0
B,A000000222839,62434335,0
B,A000000213638,38600150,0
B,A000000205908,61453881,0
B,A000000256094,62303216,0
B,A000000113494,61229881,0
C,A000000260943,63118403,0
C,A000000257827,62122395,0
C,A000000246741,59533623,0
C,A000000257062,63118336,0
C,A000000002972,61580177,0
C,A000000238532,60410341,0
C,A000000259056,63547448,0
C,A000000224298,62282183,0
C,A000000229498,20955825,0
C,A000000244742,61328275,0
C,A000000218338,63383621,0
C,A000000246297,62502505,0
C,A000000234192,34449450,0
C,A000000237883,63183791,0
C,A000000257155,63440854,0
C,A000000237883,62690111,0
C,A000000210303,63545609,0
C,A000000240414,60971727,0
C,A000000225801,62114045,0
C,A000000238489,63652820,0
C,A000000185308,63533656,0
C,A000000259319,62589868,0
C,A000000248500,63227169,0
C,A000000189171,24720952,0
C,A000000205485,62821834,0
C,A000000187658,32355881,0
C,A000000253116,60800861,0
C,A000000258934,63510145,0
C,A000000211936,61402546,0
C,A000000259315,62812508,0
C,A000000219310,61823993,0
C,B000000226414,26104799,0
C,A000000261065,64207295,0
C,A000000193214,63638639,0
C,A000000241715,62579208,0
C,A000000204767,61623182,0
C,A000000259260,63802890,0
C,A000000260069,62455203,0
C,A000000261741,63640561,0
C,A000000204014,62587017,0
C,A000000250485,61209970,0
C,A000000204388,62696068,0
C,A000000255752,62865459,0
C,A000000226202,63564746,0
C,A000000171650,46657482,0
C,A000000180162,63007510,0
C,A000000184060,63319048,0
C,A000000222833,62319143,0
C,A000000203644,63162566,0
C,A000000259055,63411852,0
C,A000000201886,63152799,0
C,A000000245169,63128153,0
C,A000000202912,63278238,0
C,A000000253967,62218844,0
C,A000000254747,62360381,0
C,A000000130319,63858755,0
C,A000000213569,61357587,0
C,A000000206656,29461367,0
C,A000000248205,62640342,0
C,A000000159407,61120308,0
